"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 11 14:26:49 GMT 2024","Fri Oct 11 14:26:49 GMT 2024","168","test.users","test_get_user","","","","test_get_user_with_nonexistent_id_returns_404",""
"passed","Fri Oct 11 14:26:41 GMT 2024","Fri Oct 11 14:26:42 GMT 2024","161","test.teams","test_put_team","","","","test_update_team_with_non_string_role_ids_returns_400",""
"passed","Fri Oct 11 14:26:40 GMT 2024","Fri Oct 11 14:26:41 GMT 2024","198","test.teams","test_put_team","","","","test_update_team_with_empty_role_ids_list_returns_200",""
"passed","Fri Oct 11 14:26:33 GMT 2024","Fri Oct 11 14:26:33 GMT 2024","148","test.teams","test_post_team","","","","test_unauthenticated_user_cannot_create_team_returns_401",""
"passed","Fri Oct 11 14:26:39 GMT 2024","Fri Oct 11 14:26:39 GMT 2024","179","test.teams","test_put_team","","","","test_update_team_with_name_exceeding_100_characters_returns_400",""
"skipped","Fri Oct 11 14:26:38 GMT 2024","Fri Oct 11 14:26:38 GMT 2024","175","test.teams","test_put_team","","","","test_update_team_with_empty_name_returns_400",""
"passed","Fri Oct 11 14:26:51 GMT 2024","Fri Oct 11 14:26:51 GMT 2024","186","test.users","test_get_users","","","","test_handle_min_offset_returns_200",""
"passed","Fri Oct 11 14:26:24 GMT 2024","Fri Oct 11 14:26:24 GMT 2024","174","test.teams","test_get_teams","","","","test_get_team_with_maxsize_1_returns_200",""
"passed","Fri Oct 11 14:26:54 GMT 2024","Fri Oct 11 14:26:55 GMT 2024","285","test.users","test_post_user","","","","test_create_user_with_valid_gender_male_female_neutral_returns_200",""
"passed","Fri Oct 11 14:27:01 GMT 2024","Fri Oct 11 14:27:01 GMT 2024","171","test.users","test_put_user","","","","test_update_user_with_invalid_teams_ids_returns_400",""
"passed","Fri Oct 11 14:26:32 GMT 2024","Fri Oct 11 14:26:32 GMT 2024","181","test.teams","test_post_team","","","","test_create_team_with_invalid_working_time_calendar_id_returns_400",""
"passed","Fri Oct 11 14:26:59 GMT 2024","Fri Oct 11 14:26:59 GMT 2024","166","test.users","test_put_user","","","","test_update_user_with_invalid_user_name_length_or_characters_returns_400",""
"passed","Fri Oct 11 14:27:03 GMT 2024","Fri Oct 11 14:27:03 GMT 2024","230","test.users","test_put_user","","","","test_update_user_with_specified_password_returns_200",""
"passed","Fri Oct 11 14:26:23 GMT 2024","Fri Oct 11 14:26:23 GMT 2024","184","test.teams","test_get_teams","","","","test_get_teams_with_valid_field_returns_200",""
"passed","Fri Oct 11 14:26:24 GMT 2024","Fri Oct 11 14:26:24 GMT 2024","169","test.teams","test_get_teams","","","","test_get_teams_with_empty_field_ignored_returns_200",""
"skipped","Fri Oct 11 14:26:28 GMT 2024","Fri Oct 11 14:26:28 GMT 2024","165","test.teams","test_get_users_team","","","","test_reject_negative_max_size_value_returns_400",""
"passed","Fri Oct 11 14:26:30 GMT 2024","Fri Oct 11 14:26:30 GMT 2024","209","test.teams","test_post_team","","","","test_create_team_with_valid_roles_ids_array_returns_200",""
"passed","Fri Oct 11 14:26:30 GMT 2024","Fri Oct 11 14:26:30 GMT 2024","156","test.teams","test_post_team","","","","test_create_team_with_invalid_characters_in_name_returns_400",""
"skipped","Fri Oct 11 14:26:51 GMT 2024","Fri Oct 11 14:26:52 GMT 2024","165","test.users","test_get_users","","","","test_negative_offset_returns_400",""
"passed","Fri Oct 11 14:26:18 GMT 2024","Fri Oct 11 14:26:18 GMT 2024","227","test.teams","test_delete_user_team","","","","test_unlink_user_with_empty_id_returns_200",""
"passed","Fri Oct 11 14:27:01 GMT 2024","Fri Oct 11 14:27:01 GMT 2024","167","test.users","test_put_user","","","","test_update_user_with_invalid_roles_ids_returns_403",""
"passed","Fri Oct 11 14:26:32 GMT 2024","Fri Oct 11 14:26:32 GMT 2024","200","test.teams","test_post_team","","","","test_create_team_without_optional_fields_returns_200",""
"passed","Fri Oct 11 14:26:42 GMT 2024","Fri Oct 11 14:26:42 GMT 2024","189","test.teams","test_put_team","","","","test_update_team_with_valid_layout_set_id_returns_200",""
"passed","Fri Oct 11 14:26:33 GMT 2024","Fri Oct 11 14:26:33 GMT 2024","158","test.teams","test_post_team","","","","test_user_without_permissions_cannot_create_team_returns_403",""
"passed","Fri Oct 11 14:26:21 GMT 2024","Fri Oct 11 14:26:21 GMT 2024","192","test.teams","test_get_team","","","","test_view_team_with_valid_id_returns_200",""
"passed","Fri Oct 11 14:26:32 GMT 2024","Fri Oct 11 14:26:32 GMT 2024","192","test.teams","test_post_team","","","","test_create_team_with_valid_working_time_calendar_id_returns_200",""
"passed","Fri Oct 11 14:26:14 GMT 2024","Fri Oct 11 14:26:14 GMT 2024","187","test.teams","test_delete_team","","","","test_delete_team_with_valid_id_returns_200",""
"passed","Fri Oct 11 14:26:35 GMT 2024","Fri Oct 11 14:26:35 GMT 2024","146","test.teams","test_post_users_team","","","","test_link_empty_user_id_array_to_team_returns_200",""
"passed","Fri Oct 11 14:26:16 GMT 2024","Fri Oct 11 14:26:17 GMT 2024","356","test.teams","test_delete_user_team","","","","test_unlink_valid_user_from_team_with_valid_id_returns_200",""
"passed","Fri Oct 11 14:26:30 GMT 2024","Fri Oct 11 14:26:30 GMT 2024","158","test.teams","test_post_team","","","","test_create_team_with_name_exceeding_100_char_limit_returns_400",""
"passed","Fri Oct 11 14:26:40 GMT 2024","Fri Oct 11 14:26:40 GMT 2024","209","test.teams","test_put_team","","","","test_update_team_with_empty_position_list_returns_200",""
"passed","Fri Oct 11 14:26:43 GMT 2024","Fri Oct 11 14:26:43 GMT 2024","200","test.teams","test_put_team","","","","test_update_team_with_empty_layout_set_id_returns_200",""
"skipped","Fri Oct 11 14:26:25 GMT 2024","Fri Oct 11 14:26:25 GMT 2024","161","test.teams","test_get_teams","","","","test_get_teams_with_negative_offset_returns_400",""
"passed","Fri Oct 11 14:27:02 GMT 2024","Fri Oct 11 14:27:02 GMT 2024","192","test.users","test_put_user","","","","test_update_user_with_invalid_working_time_calendar_id_returns_403",""
"passed","Fri Oct 11 14:26:26 GMT 2024","Fri Oct 11 14:26:26 GMT 2024","165","test.teams","test_get_teams","","","","test_get_teams_with_empty_order_ignored_returns_200",""
"passed","Fri Oct 11 14:26:28 GMT 2024","Fri Oct 11 14:26:28 GMT 2024","157","test.teams","test_get_users_team","","","","test_get_users_teams_unauthenticated_user_returns_http_401",""
"passed","Fri Oct 11 14:26:59 GMT 2024","Fri Oct 11 14:26:59 GMT 2024","188","test.users","test_put_user","","","","test_update_user_with_last_name_exceeding_100_characters_returns_400",""
"passed","Fri Oct 11 14:26:47 GMT 2024","Fri Oct 11 14:26:47 GMT 2024","139","test.users","test_delete_user","","","","test_delete_user_unauthenticated_user_returns_401",""
"passed","Fri Oct 11 14:26:28 GMT 2024","Fri Oct 11 14:26:29 GMT 2024","151","test.teams","test_get_users_team","","","","test_user_without_permissions_cannot_access_users_teams_module_returns_403",""
"passed","Fri Oct 11 14:26:55 GMT 2024","Fri Oct 11 14:26:55 GMT 2024","228","test.users","test_post_user","","","","test_create_user_with_valid_teams_ids_returns_200",""
"passed","Fri Oct 11 14:26:57 GMT 2024","Fri Oct 11 14:26:57 GMT 2024","219","test.users","test_post_user","","","","test_create_user_with_valid_avatar_color_returns_200",""
"passed","Fri Oct 11 14:26:45 GMT 2024","Fri Oct 11 14:26:45 GMT 2024","150","test.teams","test_put_team","","","","test_unauthenticated_user_cannot_update_team_returns_401",""
"passed","Fri Oct 11 14:26:44 GMT 2024","Fri Oct 11 14:26:44 GMT 2024","232","test.teams","test_put_team","","","","test_update_team_with_empty_working_time_calendar_id_returns_200",""
"passed","Fri Oct 11 14:26:28 GMT 2024","Fri Oct 11 14:26:28 GMT 2024","180","test.teams","test_get_users_team","","","","test_order_results_using_order_by_parameter_returns_200",""
"passed","Fri Oct 11 14:26:33 GMT 2024","Fri Oct 11 14:26:33 GMT 2024","340","test.teams","test_post_users_team","","","","test_link_valid_user_to_team_with_valid_id_returns_200",""
"passed","Fri Oct 11 14:26:34 GMT 2024","Fri Oct 11 14:26:34 GMT 2024","354","test.teams","test_post_users_team","","","","test_link_multiple_valid_users_to_team_with_valid_id_returns_200",""
"passed","Fri Oct 11 14:26:22 GMT 2024","Fri Oct 11 14:26:22 GMT 2024","139","test.teams","test_get_team","","","","test_unauthenticated_user_cannot_view_team_returns_401",""
"passed","Fri Oct 11 14:26:51 GMT 2024","Fri Oct 11 14:26:51 GMT 2024","208","test.users","test_get_users","","","","test_handle_max_max_size_returns_200",""
"passed","Fri Oct 11 14:26:24 GMT 2024","Fri Oct 11 14:26:25 GMT 2024","171","test.teams","test_get_teams","","","","test_get_teams_with_offset_0_returns_200",""
"passed","Fri Oct 11 14:26:53 GMT 2024","Fri Oct 11 14:26:53 GMT 2024","194","test.users","test_post_user","","","","test_create_user_with_invalid_user_name_length_or_characters_returns_400",""
"passed","Fri Oct 11 14:26:41 GMT 2024","Fri Oct 11 14:26:41 GMT 2024","219","test.teams","test_put_team","","","","test_update_team_with_valid_role_ids_list_returns_200",""
"passed","Fri Oct 11 14:26:36 GMT 2024","Fri Oct 11 14:26:36 GMT 2024","140","test.teams","test_post_users_team","","","","test_link_user_teams_unauthenticated_user_returns_http_401",""
"passed","Fri Oct 11 14:26:49 GMT 2024","Fri Oct 11 14:26:49 GMT 2024","137","test.users","test_get_user","","","","test_get_user_unauthenticated_returns_401",""
"passed","Fri Oct 11 14:26:48 GMT 2024","Fri Oct 11 14:26:49 GMT 2024","223","test.users","test_get_user","","","","test_get_user_with_valid_id_returns_200",""
"passed","Fri Oct 11 14:26:31 GMT 2024","Fri Oct 11 14:26:31 GMT 2024","181","test.teams","test_post_team","","","","test_create_team_with_valid_layout_set_id_returns_200",""
"passed","Fri Oct 11 14:26:25 GMT 2024","Fri Oct 11 14:26:25 GMT 2024","155","test.teams","test_get_teams","","","","test_get_teams_with_nonexistent_orderby_returns_400",""
